,CHIEF,DISEASE,ATTRIBUTE_TH,ATTRIBUTE_EN,HAVE_SYMPTOM,SCORE,ALARM
1574,abdominal_pain_acute_lesser_3_weeks_left_upper,esophagitis,มะเร็ง,cancer,1,1,
1575,abdominal_pain_acute_lesser_3_weeks_left_upper,esophagitis,HIV,hiv,1,2,
1576,abdominal_pain_acute_lesser_3_weeks_left_upper,food_poisoning,ถ่ายดำ,maroon_stool,1,-2,
1577,abdominal_pain_acute_lesser_3_weeks_left_upper,food_poisoning,ถ่ายเป็นเลือด หรือถ่ายปนเลือด,hematochezia,1,-1,
1578,abdominal_pain_acute_lesser_3_weeks_left_upper,food_poisoning,อาเจียนเป็นเลือด,blood_vomit,1,-3,
1579,abdominal_pain_acute_lesser_3_weeks_left_upper,food_poisoning,ไข้,fever,1,-3,
1580,abdominal_pain_acute_lesser_3_weeks_left_upper,food_poisoning,ไข้สูงและหนาวสั่น,fever_with_chill,1,-2,
1581,abdominal_pain_acute_lesser_3_weeks_left_upper,food_poisoning,เจ็บแน่นหน้าอก,chest_pain,1,-3,
1582,abdominal_pain_acute_lesser_3_weeks_left_upper,food_poisoning,ไม่_หน้ามืด,faint,0,1,
1583,abdominal_pain_acute_lesser_3_weeks_left_upper,food_poisoning,เมื่อหายใจเข้าลึกสุดจะมีอาการเพิ่มขึ้น,painful_respiration,1,-2,
1584,abdominal_pain_acute_lesser_3_weeks_left_upper,food_poisoning,ปวดคล้ายมีอวัยวะภายในฉีกขาด,tearing_pain,1,-3,
1585,abdominal_pain_acute_lesser_3_weeks_left_upper,food_poisoning,ปวดเสียด แสบร้อน,burning_pain,1,0.8,
1586,abdominal_pain_acute_lesser_3_weeks_left_upper,food_poisoning,ปวดท้องแบบเสียดแน่น,griping_pain,1,1,
1587,abdominal_pain_acute_lesser_3_weeks_left_upper,food_poisoning,ปวดบีบบิดเป็นพักๆ พักละนานกว่า 45 นาที,long_colicky_pain_45_mins,1,2,
1588,abdominal_pain_acute_lesser_3_weeks_left_upper,food_poisoning,ปวดท้องแบบบีบบิด เป็นพักๆ,colicky_pain,1,2,
1589,abdominal_pain_acute_lesser_3_weeks_left_upper,food_poisoning,ปวดเป็นมากขึ้นเมื่อรับประทานอาหาร,more_painful_when_eating,1,0.5,
1590,abdominal_pain_acute_lesser_3_weeks_left_upper,food_poisoning,ปวดมากขึ้นเวลารับประทานอาหารมัน,more_painful_when_eating_fat,1,0.8,
1591,abdominal_pain_acute_lesser_3_weeks_left_upper,food_poisoning,ปวดมากขึ้นเมื่อออกแรงหรือออกกำลัง,more_painful_on_exertion,1,-1,
1592,abdominal_pain_acute_lesser_3_weeks_left_upper,food_poisoning,นั่งพักแล้วอาการดีขึ้นเอง,relieve_when_rest,1,-1,
1593,abdominal_pain_acute_lesser_3_weeks_left_upper,food_poisoning,คลื่นไส้ อาเจียน,nausea_vomiting,1,2.5,
1594,abdominal_pain_acute_lesser_3_weeks_left_upper,food_poisoning,อิ่มเร็ว,full_fast,1,1,
1595,abdominal_pain_acute_lesser_3_weeks_left_upper,food_poisoning,ท้องอืด,bloating,1,0.8,
1596,abdominal_pain_acute_lesser_3_weeks_right_upper,cholangitis,อายุ46-60,age_46_60,1,1.6,
1597,abdominal_pain_acute_lesser_3_weeks_left_upper,food_poisoning,อาหารไม่ย่อย มีลมในท้อง,flatulence,1,1.2,
1598,abdominal_pain_acute_lesser_3_weeks_left_upper,food_poisoning,แสบร้อนขึ้นกลางอก,heartburn,1,0.8,
1599,abdominal_pain_acute_lesser_3_weeks_left_upper,food_poisoning,ตัวเหลืองตาเหลือง,jaundice,1,-1,
1600,abdominal_pain_acute_lesser_3_weeks_left_upper,food_poisoning,เบื่ออาหาร น้ำหนักลด,anorexia,1,0.5,
1601,abdominal_pain_acute_lesser_3_weeks_left_upper,food_poisoning,อ่อนเพลีย,fatigue,1,0.2,
1602,abdominal_pain_acute_lesser_3_weeks_left_upper,food_poisoning,ท้องเสีย ถ่ายเหลว,diarrhea,1,3,
1603,abdominal_pain_acute_lesser_3_weeks_left_upper,food_poisoning,ใจสั่น,palpitation,1,-2,
1604,abdominal_pain_acute_lesser_3_weeks_left_upper,food_poisoning,รู้สึกกลืนติดหรือกลืนลำบาก,dysphagia,1,0.3,
1605,abdominal_pain_acute_lesser_3_weeks_left_upper,food_poisoning,รับประทานอาหารสุกๆดิบๆ,eat_raw_food,1,2,
1606,abdominal_pain_acute_lesser_3_weeks_left_upper,food_poisoning,มีบุคคลอื่นที่ร่วมโต๊ะอาหารมีอาการเช่นเดียวกัน,there_are_other_people_who_join_the_dining_table_with_the_same_symptoms,1,5,
1607,abdominal_pain_acute_lesser_3_weeks_left_upper,food_poisoning,อายุ<_15,age_<_15,1,1.7,
1608,abdominal_pain_acute_lesser_3_weeks_left_upper,food_poisoning,อายุ15-30,age_15_30,1,2,
1609,abdominal_pain_acute_lesser_3_weeks_left_upper,food_poisoning,อายุ31-45,age_31_45,1,1.8,
1610,abdominal_pain_acute_lesser_3_weeks_left_upper,food_poisoning,อายุ46-60,age_46_60,1,1.8,
1611,abdominal_pain_acute_lesser_3_weeks_left_upper,food_poisoning,อายุ61-75,age_61_75,1,1.7,
1612,abdominal_pain_acute_lesser_3_weeks_left_upper,food_poisoning,อายุ_> 76,age_>_76,1,1.6,
1613,abdominal_pain_acute_lesser_3_weeks_left_upper,food_poisoning,HIV,hiv,1,0.3,
1614,abdominal_pain_acute_lesser_3_weeks_right_upper,cholecystitis,ไข้,fever,1,2.5,alarm
1615,abdominal_pain_acute_lesser_3_weeks_right_upper,cholecystitis,ไข้สูงและหนาวสั่น,fever_with_chill,1,0.8,alarm
1616,abdominal_pain_acute_lesser_3_weeks_right_upper,cholecystitis,ปวดท้องแบบเสียดแน่น,griping_pain,1,1,alarm
1617,abdominal_pain_acute_lesser_3_weeks_right_upper,cholecystitis,ปวดมากขึ้นเวลาหายใจเข้าลึก,painful_respiration,1,1.5,alarm
1618,abdominal_pain_acute_lesser_3_weeks_right_upper,cholecystitis,ปวดท้องมากขึ้นเวลารับประทานอาหาร,more_painful_when_eating,1,1,alarm
1619,abdominal_pain_acute_lesser_3_weeks_right_upper,cholecystitis,ปวดท้องร้าวไปยังสะบักขวา หรือร้าวไปหลัง,radiating_pain_to_right_shoulder_or_back,1,1.2,alarm
1620,abdominal_pain_acute_lesser_3_weeks_right_upper,cholecystitis,ปวดบีบบิดเป็นพักๆ พักละนานกว่า 45 นาที,long_colicky_pain_45_mins,1,1,
1621,abdominal_pain_acute_lesser_3_weeks_right_upper,cholecystitis,ปวดท้องแบบบีบบิด เป็นพักๆ,colicky_pain,1,1,
1622,abdominal_pain_acute_lesser_3_weeks_right_upper,cholecystitis,ท้องเสีย ถ่ายเหลว,diarrhea,1,0.3,
1623,abdominal_pain_acute_lesser_3_weeks_right_upper,cholecystitis,ถ่ายปนเลือด,hematochezia,1,-1.5,
1624,abdominal_pain_acute_lesser_3_weeks_right_upper,cholecystitis,คลื่นไส้อาเจียน,nausea_vomiting,1,2,
1625,abdominal_pain_acute_lesser_3_weeks_right_upper,cholecystitis,เบื่ออาหาร รับประทานไม่ได้,anorexia,1,1.5,
1626,abdominal_pain_acute_lesser_3_weeks_right_upper,cholecystitis,อ่อนเพลีย,fatique,1,1,
1627,abdominal_pain_acute_lesser_3_weeks_right_upper,cholecystitis,ท้องอืด,bloating,1,1,
1628,abdominal_pain_acute_lesser_3_weeks_right_upper,cholecystitis,อาหารไม่ย่อย มีลมในท้อง,flatulence,1,1,
1629,abdominal_pain_acute_lesser_3_weeks_right_upper,cholecystitis,ตัวเหลืองตาเหลือง,jaundice,1,0.4,
1630,abdominal_pain_acute_lesser_3_weeks_right_upper,cholecystitis,น้ำหนักลด,weight_loss,1,0.5,
1631,abdominal_pain_acute_lesser_3_weeks_right_upper,cholecystitis,อาการเป็นมากขึ้นเวลารับประทานอาหารมัน,more_painful_when_eating_fat,1,0.6,
1632,abdominal_pain_acute_lesser_3_weeks_right_upper,cholecystitis,หายใจหอบเหนื่อย,dyspnea,1,0.2,
1633,abdominal_pain_acute_lesser_3_weeks_right_upper,cholecystitis,เพศหญิง,female,1,0.6,
1634,abdominal_pain_acute_lesser_3_weeks_right_upper,cholecystitis,อายุ<_15,age_<_15,1,-1,
1635,abdominal_pain_acute_lesser_3_weeks_right_upper,cholecystitis,อายุ15-30,age_15_30,1,1,
1636,abdominal_pain_acute_lesser_3_weeks_right_upper,cholecystitis,อายุ31-45,age_31_45,1,1.8,
1637,abdominal_pain_acute_lesser_3_weeks_right_upper,cholecystitis,อายุ46-60,age_46_60,1,2,
1638,abdominal_pain_acute_lesser_3_weeks_right_upper,cholecystitis,อายุ61-75,age_61_75,1,2,
1639,abdominal_pain_acute_lesser_3_weeks_right_upper,cholecystitis,อายุ_> 76,age_>_76,1,1.4,
1640,abdominal_pain_acute_lesser_3_weeks_right_upper,symptomatic_gall_stone,ไข้,fever,1,0.8,
1641,abdominal_pain_acute_lesser_3_weeks_right_upper,symptomatic_gall_stone,ปวดท้องแบบเสียดแน่น,griping_pain,1,1,
1642,abdominal_pain_chronic_greater_3_weeks,gerd,ใจสั่น,palpitation,1,-1,
1643,abdominal_pain_acute_lesser_3_weeks_right_upper,symptomatic_gall_stone,ปวดมากขึ้นเวลาหายใจเข้าลึก,painful_respiration,1,0.8,
1644,abdominal_pain_acute_lesser_3_weeks_right_upper,symptomatic_gall_stone,ปวดท้องมากขึ้นเวลารับประทานอาหาร,more_painful_when_eating,1,2,
1645,abdominal_pain_acute_lesser_3_weeks_right_upper,symptomatic_gall_stone,ปวดท้องร้าวไปยังสะบักขวา หรือร้าวไปหลัง,radiating_pain_to_right_shoulder_or_back,1,0.8,
1646,abdominal_pain_acute_lesser_3_weeks_right_upper,symptomatic_gall_stone,ปวดบีบบิดเป็นพักๆ พักละนานกว่า 45 นาที,long_colicky_pain_45_mins,1,1.8,
1647,abdominal_pain_acute_lesser_3_weeks_right_upper,symptomatic_gall_stone,ปวดท้องแบบบีบบิด เป็นพักๆ,colicky_pain,1,1.5,
1648,abdominal_pain_acute_lesser_3_weeks_right_upper,symptomatic_gall_stone,คลื่นไส้อาเจียน,nausea_vomiting,1,1.8,
1649,abdominal_pain_acute_lesser_3_weeks_right_upper,symptomatic_gall_stone,เบื่ออาหาร รับประทานไม่ได้,anorexia,1,1,
1650,abdominal_pain_acute_lesser_3_weeks_right_upper,symptomatic_gall_stone,ท้องอืด,bloating,1,1.8,
1651,abdominal_pain_acute_lesser_3_weeks_right_upper,symptomatic_gall_stone,อาหารไม่ย่อย มีลมในท้อง,flatulence,1,1,
1652,abdominal_pain_acute_lesser_3_weeks_right_upper,symptomatic_gall_stone,ตัวเหลืองตาเหลือง,jaundice,1,0.7,
1653,abdominal_pain_acute_lesser_3_weeks_right_upper,symptomatic_gall_stone,น้ำหนักลด,weight_loss,1,0.3,
1654,abdominal_pain_acute_lesser_3_weeks_right_upper,symptomatic_gall_stone,อาการเป็นมากขึ้นเวลารับประทานอาหารมัน,more_painful_when_eating_fat,1,1.4,
1655,abdominal_pain_acute_lesser_3_weeks_right_upper,symptomatic_gall_stone,หายใจหอบเหนื่อย,dyspnea,1,0.2,
1656,abdominal_pain_acute_lesser_3_weeks_right_upper,symptomatic_gall_stone,รับประทานอาหารสุกๆดิบๆ,eat_raw_food,1,0.2,
1657,abdominal_pain_acute_lesser_3_weeks_right_upper,symptomatic_gall_stone,เพศหญิง,female,1,0.6,
1658,abdominal_pain_acute_lesser_3_weeks_right_upper,symptomatic_gall_stone,อายุ<_15,age_<_15,1,0.6,
1659,abdominal_pain_acute_lesser_3_weeks_right_upper,symptomatic_gall_stone,อายุ15-30,age_15_30,1,1.2,
1660,abdominal_pain_acute_lesser_3_weeks_right_upper,symptomatic_gall_stone,อายุ31-45,age_31_45,1,2,
1661,abdominal_pain_acute_lesser_3_weeks_right_upper,symptomatic_gall_stone,อายุ46-60,age_46_60,1,1.4,
1662,abdominal_pain_acute_lesser_3_weeks_right_upper,symptomatic_gall_stone,อายุ61-75,age_61_75,1,0.8,
1663,abdominal_pain_acute_lesser_3_weeks_right_upper,symptomatic_gall_stone,อายุ_> 76,age_>_76,1,0.6,
1664,abdominal_pain_acute_lesser_3_weeks_right_upper,cholangitis,ไข้,fever,1,3,alarm
1665,abdominal_pain_acute_lesser_3_weeks_right_upper,cholangitis,ไข้สูงและหนาวสั่น,fever_with_chill,1,3,alarm
1666,abdominal_pain_acute_lesser_3_weeks_right_upper,cholangitis,ปวดท้องแบบเสียดแน่น,griping_pain,1,1,alarm
1667,abdominal_pain_acute_lesser_3_weeks_right_upper,cholangitis,ปวดท้องมากขึ้นเวลารับประทานอาหาร,more_painful_when_eating,1,1,alarm
1668,abdominal_pain_acute_lesser_3_weeks_right_upper,cholangitis,ปวดท้องร้าวไปยังสะบักขวา หรือร้าวไปหลัง,radiating_pain_to_right_shoulder_or_back,1,0.6,alarm
1669,abdominal_pain_acute_lesser_3_weeks_right_upper,cholangitis,ท้องเสีย ถ่ายเหลว,diarrhea,1,0.3,
1670,abdominal_pain_acute_lesser_3_weeks_right_upper,cholangitis,ถ่ายปนเลือด,hematochezia,1,-2,
1671,abdominal_pain_acute_lesser_3_weeks_right_upper,cholangitis,อุจจาระสีซีดลงกว่าปกติ,pale_stool,1,1.2,
1672,abdominal_pain_acute_lesser_3_weeks_right_upper,cholangitis,คลื่นไส้อาเจียน,nausea_vomiting,1,2,
1673,abdominal_pain_acute_lesser_3_weeks_right_upper,cholangitis,เบื่ออาหาร รับประทานไม่ได้,anorexia,1,1.2,
1674,abdominal_pain_acute_lesser_3_weeks_right_upper,cholangitis,อ่อนเพลีย,fatique,1,1.2,
1675,abdominal_pain_acute_lesser_3_weeks_right_upper,cholangitis,คันตามผิวหนังโดยไม่มีผื่น,itching_without_rash,1,1,
1676,abdominal_pain_acute_lesser_3_weeks_right_upper,cholangitis,อาหารไม่ย่อย มีลมในท้อง,flatulence,1,1,
1677,abdominal_pain_acute_lesser_3_weeks_right_upper,cholangitis,ตัวเหลืองตาเหลือง,jaundice,1,2.5,
1678,abdominal_pain_acute_lesser_3_weeks_right_upper,cholangitis,น้ำหนักลด,weight_loss,1,0.7,
1679,abdominal_pain_acute_lesser_3_weeks_right_upper,cholangitis,หายใจหอบเหนื่อย,dyspnea,1,0.6,
1680,abdominal_pain_acute_lesser_3_weeks_right_upper,cholangitis,ปัสสาวะสีเข้มขึ้น,dark_urine,1,0.8,
1681,abdominal_pain_acute_lesser_3_weeks_right_upper,cholangitis,รับประทานอาหารสุกๆดิบๆ,eat_raw_food,1,1,
1682,abdominal_pain_acute_lesser_3_weeks_right_upper,cholangitis,เพศหญิง,female,1,0.4,
1683,abdominal_pain_acute_lesser_3_weeks_right_upper,cholangitis,อายุ<_15,age_<_15,1,0.4,
1684,abdominal_pain_acute_lesser_3_weeks_right_upper,cholangitis,อายุ15-30,age_15_30,1,1.6,
1685,abdominal_pain_acute_lesser_3_weeks_right_upper,cholangitis,อายุ31-45,age_31_45,1,2,
1686,abdominal_pain_chronic_greater_3_weeks,ibs,อายุ<_15,age_<_15,1,1.2,
1687,abdominal_pain_acute_lesser_3_weeks_right_upper,cholangitis,อายุ61-75,age_61_75,1,1,
1688,abdominal_pain_acute_lesser_3_weeks_right_upper,cholangitis,อายุ_> 76,age_>_76,1,0.8,
1689,abdominal_pain_acute_lesser_3_weeks_right_upper,cholangitis,เบาหวาน,diabetes,1,1.4,
1690,abdominal_pain_acute_lesser_3_weeks_right_upper,colitis,ไข้,fever,1,0.2,
1691,abdominal_pain_acute_lesser_3_weeks_right_upper,colitis,ปวดท้องแบบเสียดแน่น,griping_pain,1,0.3,
1692,abdominal_pain_acute_lesser_3_weeks_right_upper,colitis,ปวดท้องมากขึ้นเวลารับประทานอาหาร,more_painful_when_eating,1,0.5,
1693,abdominal_pain_acute_lesser_3_weeks_right_upper,colitis,ปวดบีบบิดเป็นพักๆ พักละนานกว่า 45 นาที,long_colicky_pain_45_mins,1,0.6,
1694,abdominal_pain_acute_lesser_3_weeks_right_upper,colitis,ปวดท้องแบบบีบบิด เป็นพักๆ,colicky_pain,1,2,
1695,abdominal_pain_acute_lesser_3_weeks_right_upper,colitis,ปวดเบ่งเวลาถ่ายอุจจาระ,tenesmus,1,1.2,
1696,abdominal_pain_acute_lesser_3_weeks_right_upper,colitis,ปวดต้องการถ่าย ถ่ายแล้วดีขึ้น,stool_pain,1,1.2,
1697,abdominal_pain_acute_lesser_3_weeks_right_upper,colitis,ท้องเสีย ถ่ายเหลว,diarrhea,1,3,
1698,abdominal_pain_acute_lesser_3_weeks_right_upper,colitis,ถ่ายปนมูก,mucous_tool,1,2,
1699,abdominal_pain_acute_lesser_3_weeks_right_upper,colitis,ถ่ายปนเลือด,hematochezia,1,1.2,
1700,abdominal_pain_acute_lesser_3_weeks_right_upper,colitis,ท้องผูก,constipation,1,1.2,
1701,abdominal_pain_acute_lesser_3_weeks_right_upper,colitis,อุจจาระสีซีดลงกว่าปกติ,pale_stool,1,-1,
1702,abdominal_pain_acute_lesser_3_weeks_right_upper,colitis,คลื่นไส้อาเจียน,nausea_vomiting,1,1.8,
1703,abdominal_pain_acute_lesser_3_weeks_right_upper,colitis,เบื่ออาหาร รับประทานไม่ได้,anorexia,1,1,
1704,abdominal_pain_acute_lesser_3_weeks_right_upper,colitis,อ่อนเพลีย,fatique,1,0.8,
1705,abdominal_pain_acute_lesser_3_weeks_right_upper,colitis,ท้องอืด,bloating,1,1.8,
1706,abdominal_pain_acute_lesser_3_weeks_right_upper,colitis,อาหารไม่ย่อย มีลมในท้อง,flatulence,1,1.2,
1707,abdominal_pain_acute_lesser_3_weeks_right_upper,colitis,ตัวเหลืองตาเหลือง,jaundice,1,-3,
1708,abdominal_pain_acute_lesser_3_weeks_right_upper,colitis,น้ำหนักลด,weight_loss,1,1,
1709,abdominal_pain_acute_lesser_3_weeks_right_upper,colitis,รับประทานอาหารสุกๆดิบๆ,eat_raw_food,1,0.5,
1710,abdominal_pain_acute_lesser_3_weeks_right_upper,colitis,อายุ<_15,age_<_15,1,1.4,
1711,abdominal_pain_acute_lesser_3_weeks_right_upper,colitis,อายุ15-30,age_15_30,1,2,
1712,abdominal_pain_acute_lesser_3_weeks_right_upper,colitis,อายุ31-45,age_31_45,1,1.4,
1713,abdominal_pain_acute_lesser_3_weeks_right_upper,colitis,อายุ46-60,age_46_60,1,1.4,
1714,abdominal_pain_acute_lesser_3_weeks_right_upper,colitis,อายุ61-75,age_61_75,1,2,
1715,abdominal_pain_acute_lesser_3_weeks_right_upper,colitis,อายุ_> 76,age_>_76,1,1.6,
1716,abdominal_pain_acute_lesser_3_weeks_right_upper,liver_abscess,ไข้,fever,1,2.5,alarm
1717,abdominal_pain_acute_lesser_3_weeks_right_upper,liver_abscess,ไข้สูงและหนาวสั่น,fever_with_chill,1,0.8,alarm
1718,abdominal_pain_acute_lesser_3_weeks_right_upper,liver_abscess,ปวดท้องแบบเสียดแน่น,griping_pain,1,1,alarm
1719,abdominal_pain_acute_lesser_3_weeks_right_upper,liver_abscess,ปวดมากขึ้นเวลาหายใจเข้าลึก,painful_respiration,1,1,alarm
1720,abdominal_pain_acute_lesser_3_weeks_right_upper,liver_abscess,ปวดท้องร้าวไปยังสะบักขวา หรือร้าวไปหลัง,radiating_pain_to_right_shoulder_or_back,1,0.6,alarm
1721,abdominal_pain_acute_lesser_3_weeks_right_upper,liver_abscess,ปวดบีบบิดเป็นพักๆ พักละนานกว่า 45 นาที,long_colicky_pain_45_mins,1,0.7,
1722,abdominal_pain_acute_lesser_3_weeks_right_upper,liver_abscess,ปวดท้องแบบบีบบิด เป็นพักๆ,colicky_pain,1,0.8,
1723,abdominal_pain_acute_lesser_3_weeks_right_upper,liver_abscess,ท้องเสีย ถ่ายเหลว,diarrhea,1,0.3,
1724,abdominal_pain_acute_lesser_3_weeks_right_upper,liver_abscess,อุจจาระสีซีดลงกว่าปกติ,pale_stool,1,0.5,
1725,abdominal_pain_acute_lesser_3_weeks_right_upper,liver_abscess,คลื่นไส้อาเจียน,nausea_vomiting,1,1.7,
1726,abdominal_pain_acute_lesser_3_weeks_right_upper,liver_abscess,เบื่ออาหาร รับประทานไม่ได้,anorexia,1,1.2,
1727,abdominal_pain_acute_lesser_3_weeks_right_upper,liver_abscess,อ่อนเพลีย,fatique,1,1.7,
1728,abdominal_pain_acute_lesser_3_weeks_right_upper,liver_abscess,ท้องอืด,bloating,1,1,
1729,abdominal_pain_acute_lesser_3_weeks_right_upper,liver_abscess,อาหารไม่ย่อย มีลมในท้อง,flatulence,1,1,
1730,abdominal_pain_acute_lesser_3_weeks_right_upper,liver_abscess,ตัวเหลืองตาเหลือง,jaundice,1,-1,
1731,abdominal_pain_acute_lesser_3_weeks_right_upper,liver_abscess,น้ำหนักลด,weight_loss,1,2.5,
1732,abdominal_pain_acute_lesser_3_weeks_right_upper,liver_abscess,ปัสสาวะสีเข้มขึ้น,dark_urine,1,0.8,
1733,neck_mass,tb,อายุ_> 76,age_>_76,1,0.5,
1734,abdominal_pain_acute_lesser_3_weeks_right_upper,liver_abscess,รับประทานอาหารสุกๆดิบๆ,eat_raw_food,1,1.5,
1735,abdominal_pain_acute_lesser_3_weeks_right_upper,liver_abscess,ดื่มเครื่องดื่มที่มีแอลกอฮอล์ประจำ,drink_regular_alcoholic_beverages,1,0.5,
1736,abdominal_pain_acute_lesser_3_weeks_right_upper,liver_abscess,มีเพศสัมพันธ์โดยไม่ป้องกัน,having_sex_without_protection,1,0.3,
1737,abdominal_pain_acute_lesser_3_weeks_right_upper,liver_abscess,เพศชาย,male,1,0.6,
1738,abdominal_pain_acute_lesser_3_weeks_right_upper,liver_abscess,อายุ<_15,age_<_15,1,0.2,
1739,abdominal_pain_acute_lesser_3_weeks_right_upper,liver_abscess,อายุ15-30,age_15_30,1,0.8,
1740,abdominal_pain_acute_lesser_3_weeks_right_upper,liver_abscess,อายุ31-45,age_31_45,1,1.6,
1741,abdominal_pain_acute_lesser_3_weeks_right_upper,liver_abscess,อายุ46-60,age_46_60,1,2,
1742,abdominal_pain_acute_lesser_3_weeks_right_upper,liver_abscess,อายุ61-75,age_61_75,1,1.6,
1743,abdominal_pain_acute_lesser_3_weeks_right_upper,liver_abscess,อายุ_> 76,age_>_76,1,1.2,
1744,abdominal_pain_acute_lesser_3_weeks_right_upper,liver_abscess,เบาหวาน,diabetes,1,1.4,
1745,abdominal_pain_acute_lesser_3_weeks_right_upper,hepatitis,ไข้,fever,1,1.5,alarm
1746,abdominal_pain_acute_lesser_3_weeks_right_upper,hepatitis,ไข้สูงและหนาวสั่น,fever_with_chill,1,0.2,alarm
1747,abdominal_pain_acute_lesser_3_weeks_right_upper,hepatitis,ปวดท้องแบบเสียดแน่น,griping_pain,1,1.2,alarm
1748,abdominal_pain_acute_lesser_3_weeks_right_upper,hepatitis,ปวดมากขึ้นเวลาหายใจเข้าลึก,painful_respiration,1,0.8,alarm
1749,abdominal_pain_acute_lesser_3_weeks_right_upper,hepatitis,ปวดท้องแบบบีบบิด เป็นพักๆ,colicky_pain,1,1,
1750,abdominal_pain_acute_lesser_3_weeks_right_upper,hepatitis,ท้องเสีย ถ่ายเหลว,diarrhea,1,0.5,
1751,abdominal_pain_acute_lesser_3_weeks_right_upper,hepatitis,ถ่ายปนมูก,mucous_tool,1,0.3,
1752,abdominal_pain_acute_lesser_3_weeks_right_upper,hepatitis,อุจจาระสีซีดลงกว่าปกติ,pale_stool,1,0.3,
1753,abdominal_pain_acute_lesser_3_weeks_right_upper,hepatitis,คลื่นไส้อาเจียน,nausea_vomiting,1,1.8,
1754,abdominal_pain_acute_lesser_3_weeks_right_upper,hepatitis,เบื่ออาหาร รับประทานไม่ได้,anorexia,1,2,
1755,abdominal_pain_acute_lesser_3_weeks_right_upper,hepatitis,อ่อนเพลีย,fatique,1,1.7,
1756,abdominal_pain_acute_lesser_3_weeks_right_upper,hepatitis,ท้องอืด,bloating,1,1.2,
1757,abdominal_pain_acute_lesser_3_weeks_right_upper,hepatitis,อาหารไม่ย่อย มีลมในท้อง,flatulence,1,0.4,
1758,abdominal_pain_acute_lesser_3_weeks_right_upper,hepatitis,ตัวเหลืองตาเหลือง,jaundice,1,1,
1759,abdominal_pain_acute_lesser_3_weeks_right_upper,hepatitis,น้ำหนักลด,weight_loss,1,1.8,
1760,abdominal_pain_acute_lesser_3_weeks_right_upper,hepatitis,ปัสสาวะสีเข้มขึ้น,dark_urine,1,0.5,
1761,abdominal_pain_acute_lesser_3_weeks_right_upper,hepatitis,รับประทานอาหารสุกๆดิบๆ,eat_raw_food,1,1.5,
1762,abdominal_pain_acute_lesser_3_weeks_right_upper,hepatitis,ดื่มเครื่องดื่มที่มีแอลกอฮอล์ประจำ,drink_regular_alcoholic_beverages,1,1.7,
1763,abdominal_pain_acute_lesser_3_weeks_right_upper,hepatitis,มีเพศสัมพันธ์โดยไม่ป้องกัน,having_sex_without_protection,1,1.5,
1764,abdominal_pain_acute_lesser_3_weeks_right_upper,hepatitis,เพศชาย,male,1,0.3,
1765,abdominal_pain_acute_lesser_3_weeks_right_upper,hepatitis,อายุ<_15,age_<_15,1,-0.8,
1766,abdominal_pain_acute_lesser_3_weeks_right_upper,hepatitis,อายุ15-30,age_15_30,1,0.2,
1767,abdominal_pain_acute_lesser_3_weeks_right_upper,hepatitis,อายุ31-45,age_31_45,1,1.2,
1768,abdominal_pain_acute_lesser_3_weeks_right_upper,hepatitis,อายุ46-60,age_46_60,1,2,
1769,abdominal_pain_acute_lesser_3_weeks_right_upper,hepatitis,อายุ61-75,age_61_75,1,1.3,
1770,abdominal_pain_acute_lesser_3_weeks_right_upper,hepatitis,อายุ_> 76,age_>_76,1,0.8,
1771,abdominal_pain_acute_lesser_3_weeks_right_upper,hepatitis,เบาหวาน,diabetes,1,1.5,
1772,abdominal_pain_acute_lesser_3_weeks_right_upper,hepatitis,HIV,hiv,1,0.5,
1773,abdominal_pain_acute_lesser_3_weeks_right_upper,right_lung_pneumonia,ไข้,fever,1,2,alarm
1774,abdominal_pain_acute_lesser_3_weeks_right_upper,right_lung_pneumonia,ไข้สูงและหนาวสั่น,fever_with_chill,1,1.7,alarm
1775,abdominal_pain_acute_lesser_3_weeks_right_upper,right_lung_pneumonia,ปวดมากขึ้นเวลาหายใจเข้าลึก,painful_respiration,1,2,alarm
1776,abdominal_pain_acute_lesser_3_weeks_right_upper,right_lung_pneumonia,เบื่ออาหาร รับประทานไม่ได้,anorexia,1,1.5,
1777,abdominal_pain_acute_lesser_3_weeks_right_upper,right_lung_pneumonia,อ่อนเพลีย,fatique,1,1.2,
1778,abdominal_pain_acute_lesser_3_weeks_right_upper,right_lung_pneumonia,น้ำหนักลด,weight_loss,1,0.8,
1779,abdominal_pain_acute_lesser_3_weeks_right_upper,right_lung_pneumonia,ไอมีเสมหะ,productive_cough,1,3.5,
1780,abdominal_pain_acute_lesser_3_weeks_right_upper,right_lung_pneumonia,หายใจหอบเหนื่อย,dyspnea,1,2.8,
1781,abdominal_pain_chronic_greater_3_weeks,ibs,อายุ15-30,age_15_30,1,1.5,
1782,abdominal_pain_acute_lesser_3_weeks_right_upper,right_lung_pneumonia,ดื่มเครื่องดื่มที่มีแอลกอฮอล์ประจำ,drink_regular_alcoholic_beverages,1,0.3,
1783,abdominal_pain_acute_lesser_3_weeks_right_upper,right_lung_pneumonia,อายุ<_15,age_<_15,1,0,
1784,abdominal_pain_acute_lesser_3_weeks_right_upper,right_lung_pneumonia,อายุ15-30,age_15_30,1,0.8,
1785,abdominal_pain_acute_lesser_3_weeks_right_upper,right_lung_pneumonia,อายุ31-45,age_31_45,1,2,
